Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/09/2019,13,ug/m3 SC,12,San Francisco,San Francisco
01/21/2019,13,ug/m3 SC,12,San Francisco,San Francisco
02/02/2019,9,ug/m3 SC,8,San Francisco,San Francisco
02/14/2019,9,ug/m3 SC,8,San Francisco,San Francisco
02/26/2019,6,ug/m3 SC,6,San Francisco,San Francisco
03/10/2019,5,ug/m3 SC,5,San Francisco,San Francisco
03/22/2019,9,ug/m3 SC,8,San Francisco,San Francisco
04/03/2019,5,ug/m3 SC,5,San Francisco,San Francisco
04/15/2019,15,ug/m3 SC,14,San Francisco,San Francisco
04/27/2019,29,ug/m3 SC,27,San Francisco,San Francisco
05/09/2019,9,ug/m3 SC,8,San Francisco,San Francisco
05/21/2019,19,ug/m3 SC,18,San Francisco,San Francisco
06/02/2019,4,ug/m3 SC,4,San Francisco,San Francisco
06/14/2019,11,ug/m3 SC,10,San Francisco,San Francisco
06/26/2019,10,ug/m3 SC,9,San Francisco,San Francisco
07/08/2019,14,ug/m3 SC,13,San Francisco,San Francisco
07/20/2019,9,ug/m3 SC,8,San Francisco,San Francisco
08/01/2019,7,ug/m3 SC,6,San Francisco,San Francisco
08/13/2019,21,ug/m3 SC,19,San Francisco,San Francisco
08/25/2019,7,ug/m3 SC,6,San Francisco,San Francisco
09/06/2019,7,ug/m3 SC,6,San Francisco,San Francisco
09/18/2019,11,ug/m3 SC,10,San Francisco,San Francisco
09/30/2019,14,ug/m3 SC,13,San Francisco,San Francisco
10/12/2019,34,ug/m3 SC,31,San Francisco,San Francisco
10/24/2019,42,ug/m3 SC,39,San Francisco,San Francisco
11/05/2019,24,ug/m3 SC,22,San Francisco,San Francisco
11/17/2019,23,ug/m3 SC,21,San Francisco,San Francisco
11/29/2019,10,ug/m3 SC,9,San Francisco,San Francisco
12/11/2019,10,ug/m3 SC,9,San Francisco,San Francisco
12/23/2019,13,ug/m3 SC,12,San Francisco,San Francisco
