Date,Daily_Max_8-hr_Ozone_Concentration,UNITS,AQI_O3,Site_Name
01/01/2015,0.0279999999999999,ppm,26,San Francisco
01/02/2015,0.022,ppm,20,San Francisco
01/03/2015,0.018,ppm,17,San Francisco
01/04/2015,0.02,ppm,19,San Francisco
01/05/2015,0.013,ppm,12,San Francisco
01/06/2015,0.0139999999999999,ppm,13,San Francisco
01/07/2015,0.009,ppm,8,San Francisco
01/08/2015,0.005,ppm,5,San Francisco
01/09/2015,0.01,ppm,9,San Francisco
01/10/2015,0.0139999999999999,ppm,13,San Francisco
01/11/2015,0.015,ppm,14,San Francisco
01/12/2015,0.01,ppm,9,San Francisco
01/13/2015,0.012,ppm,11,San Francisco
01/14/2015,0.0139999999999999,ppm,13,San Francisco
01/15/2015,0.01,ppm,9,San Francisco
01/16/2015,0.005,ppm,5,San Francisco
01/17/2015,0.018,ppm,17,San Francisco
01/18/2015,0.008,ppm,7,San Francisco
01/19/2015,0.013,ppm,12,San Francisco
01/20/2015,0.012,ppm,11,San Francisco
01/21/2015,0.012,ppm,11,San Francisco
01/22/2015,0.012,ppm,11,San Francisco
01/23/2015,0.009,ppm,8,San Francisco
01/24/2015,0.012,ppm,11,San Francisco
01/25/2015,0.015,ppm,14,San Francisco
01/26/2015,0.009,ppm,8,San Francisco
01/27/2015,0.023,ppm,21,San Francisco
01/28/2015,0.023,ppm,21,San Francisco
01/29/2015,0.021,ppm,19,San Francisco
01/30/2015,0.013,ppm,12,San Francisco
01/31/2015,0.0289999999999999,ppm,27,San Francisco
02/01/2015,0.019,ppm,18,San Francisco
02/02/2015,0.022,ppm,20,San Francisco
02/03/2015,0.017,ppm,16,San Francisco
02/04/2015,0.032,ppm,30,San Francisco
02/05/2015,0.03,ppm,28,San Francisco
02/06/2015,0.031,ppm,29,San Francisco
02/07/2015,0.0279999999999999,ppm,26,San Francisco
02/08/2015,0.0409999999999999,ppm,38,San Francisco
02/09/2015,0.032,ppm,30,San Francisco
02/10/2015,0.023,ppm,21,San Francisco
02/11/2015,0.016,ppm,15,San Francisco
02/12/2015,0.02,ppm,19,San Francisco
02/13/2015,0.023,ppm,21,San Francisco
02/14/2015,0.023,ppm,21,San Francisco
02/15/2015,0.025,ppm,23,San Francisco
02/16/2015,0.039,ppm,36,San Francisco
02/17/2015,0.04,ppm,37,San Francisco
02/18/2015,0.027,ppm,25,San Francisco
02/19/2015,0.024,ppm,22,San Francisco
02/20/2015,0.016,ppm,15,San Francisco
02/21/2015,0.034,ppm,31,San Francisco
02/22/2015,0.034,ppm,31,San Francisco
02/23/2015,0.033,ppm,31,San Francisco
02/24/2015,0.031,ppm,29,San Francisco
02/25/2015,0.03,ppm,28,San Francisco
02/26/2015,0.031,ppm,29,San Francisco
02/27/2015,0.036,ppm,33,San Francisco
02/28/2015,0.034,ppm,31,San Francisco
03/01/2015,0.032,ppm,30,San Francisco
03/02/2015,0.038,ppm,35,San Francisco
03/03/2015,0.031,ppm,29,San Francisco
03/04/2015,0.03,ppm,28,San Francisco
03/05/2015,0.039,ppm,36,San Francisco
03/06/2015,0.036,ppm,33,San Francisco
03/07/2015,0.037,ppm,34,San Francisco
03/08/2015,0.033,ppm,31,San Francisco
03/09/2015,0.026,ppm,24,San Francisco
03/10/2015,0.032,ppm,30,San Francisco
03/11/2015,0.036,ppm,33,San Francisco
03/12/2015,0.026,ppm,24,San Francisco
03/13/2015,0.023,ppm,21,San Francisco
03/14/2015,0.04,ppm,37,San Francisco
03/15/2015,0.035,ppm,32,San Francisco
03/16/2015,0.032,ppm,30,San Francisco
03/17/2015,0.035,ppm,32,San Francisco
