Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
01/06/2015,44,ug/m3 SC,41,San Francisco
01/18/2015,18,ug/m3 SC,17,San Francisco
01/30/2015,24,ug/m3 SC,22,San Francisco
02/11/2015,16,ug/m3 SC,15,San Francisco
02/23/2015,20,ug/m3 SC,19,San Francisco
03/07/2015,20,ug/m3 SC,19,San Francisco
03/19/2015,29,ug/m3 SC,27,San Francisco
03/31/2015,17,ug/m3 SC,16,San Francisco
04/12/2015,14,ug/m3 SC,13,San Francisco
04/24/2015,14,ug/m3 SC,13,San Francisco
05/06/2015,31,ug/m3 SC,29,San Francisco
05/18/2015,11,ug/m3 SC,10,San Francisco
05/30/2015,7,ug/m3 SC,6,San Francisco
06/11/2015,13,ug/m3 SC,12,San Francisco
06/23/2015,23,ug/m3 SC,21,San Francisco
07/05/2015,2,ug/m3 SC,2,San Francisco
07/17/2015,13,ug/m3 SC,12,San Francisco
07/29/2015,16,ug/m3 SC,15,San Francisco
08/10/2015,5,ug/m3 SC,5,San Francisco
08/22/2015,16,ug/m3 SC,15,San Francisco
09/03/2015,24,ug/m3 SC,22,San Francisco
09/15/2015,13,ug/m3 SC,12,San Francisco
10/03/2015,38,ug/m3 SC,35,San Francisco
10/09/2015,12,ug/m3 SC,11,San Francisco
10/21/2015,24,ug/m3 SC,22,San Francisco
11/02/2015,11,ug/m3 SC,10,San Francisco
11/14/2015,26,ug/m3 SC,24,San Francisco
11/26/2015,7,ug/m3 SC,6,San Francisco
12/08/2015,26,ug/m3 SC,24,San Francisco
12/20/2015,8,ug/m3 SC,7,San Francisco
